        100, 100, 101,     10000, a shifted =           0, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
  100111000,   0,   1,         1, a shifted =    10011100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  100111110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  101000110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  101001000,   0,   1,         1, a shifted =    10100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  101001110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  101010110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  101011000,   0,   1,         1, a shifted =    10101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  101011110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  101100110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  101101000,   0,   1,         1, a shifted =    10110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  101101110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  101110010,  10,  11,       100, a shifted =      101110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
  101110110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  101111000,   0,   1,         1, a shifted =    10111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  101111110, 110, 111,   1000000, a shifted =          10, a shifted mod 8 = 010, a remultiplied =   100000000, a unshifted =  010-------,  a mod8 = 010, num = 000, 0
  110001000,   0,   1,         1, a shifted =    11000100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  110010101, 101, 100,    100000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
  110011000,   0,   1,         1, a shifted =    11001100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  110011101, 101, 100,    100000, a shifted =       11001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
  110101000,   0,   1,         1, a shifted =    11010100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  110110010,  10,  11,       100, a shifted =      110110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
  110111000,   0,   1,         1, a shifted =    11011100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  111001000,   0,   1,         1, a shifted =    11100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  111011000,   0,   1,         1, a shifted =    11101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  111101000,   0,   1,         1, a shifted =    11110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
  111110010,  10,  11,       100, a shifted =      111110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
  111111000,   0,   1,         1, a shifted =    11111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1000000100, 100, 101,     10000, a shifted =       10000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
 1000001000,   0,   1,         1, a shifted =   100000100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1000001100, 100, 101,     10000, a shifted =       10000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
 1000010100, 100, 101,     10000, a shifted =       10000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
 1000010101, 101, 100,    100000, a shifted =      100001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
 1000011000,   0,   1,         1, a shifted =   100001100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1000011100, 100, 101,     10000, a shifted =       10000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
 1000011101, 101, 100,    100000, a shifted =      100001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
 1000101000,   0,   1,         1, a shifted =   100010100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1000110010,  10,  11,       100, a shifted =     1000110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
 1000111000,   0,   1,         1, a shifted =   100011100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1001001000,   0,   1,         1, a shifted =   100100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1001011000,   0,   1,         1, a shifted =   100101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1001101000,   0,   1,         1, a shifted =   100110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1001110010,  10,  11,       100, a shifted =     1001110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
 1001111000,   0,   1,         1, a shifted =   100111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1010001000,   0,   1,         1, a shifted =   101000100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1010010101, 101, 100,    100000, a shifted =      101001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
 1010011000,   0,   1,         1, a shifted =   101001100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1010011101, 101, 100,    100000, a shifted =      101001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
 1010101000,   0,   1,         1, a shifted =   101010100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1010110010,  10,  11,       100, a shifted =     1010110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
 1010111000,   0,   1,         1, a shifted =   101011100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1011000111, 111, 110,  10000000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
 1011001000,   0,   1,         1, a shifted =   101100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1011001111, 111, 110,  10000000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
 1011010111, 111, 110,  10000000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
 1011011000,   0,   1,         1, a shifted =   101101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1011011111, 111, 110,  10000000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
 1011100111, 111, 110,  10000000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
 1011101000,   0,   1,         1, a shifted =   101110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1011101111, 111, 110,  10000000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
 1011110010,  10,  11,       100, a shifted =     1011110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
 1011110111, 111, 110,  10000000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
 1011111000,   0,   1,         1, a shifted =   101111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1011111111, 111, 110,  10000000, a shifted =        1011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
 1100000100, 100, 101,     10000, a shifted =       11000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
 1100001000,   0,   1,         1, a shifted =   110000100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1100001100, 100, 101,     10000, a shifted =       11000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
 1100010100, 100, 101,     10000, a shifted =       11000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
 1100010101, 101, 100,    100000, a shifted =      110001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
 1100011000,   0,   1,         1, a shifted =   110001100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1100011100, 100, 101,     10000, a shifted =       11000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
 1100011101, 101, 100,    100000, a shifted =      110001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
 1100101000,   0,   1,         1, a shifted =   110010100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1100110010,  10,  11,       100, a shifted =     1100110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
 1100111000,   0,   1,         1, a shifted =   110011100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1101001000,   0,   1,         1, a shifted =   110100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1101011000,   0,   1,         1, a shifted =   110101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1101101000,   0,   1,         1, a shifted =   110110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1101110010,  10,  11,       100, a shifted =     1101110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
 1101111000,   0,   1,         1, a shifted =   110111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1110001000,   0,   1,         1, a shifted =   111000100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1110010101, 101, 100,    100000, a shifted =      111001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
 1110011000,   0,   1,         1, a shifted =   111001100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1110011101, 101, 100,    100000, a shifted =      111001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
 1110101000,   0,   1,         1, a shifted =   111010100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1110110010,  10,  11,       100, a shifted =     1110110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
 1110111000,   0,   1,         1, a shifted =   111011100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1111001000,   0,   1,         1, a shifted =   111100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1111011000,   0,   1,         1, a shifted =   111101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1111101000,   0,   1,         1, a shifted =   111110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
 1111110010,  10,  11,       100, a shifted =     1111110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
 1111111000,   0,   1,         1, a shifted =   111111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10000000100, 100, 101,     10000, a shifted =      100000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
10000001000,   0,   1,         1, a shifted =  1000000100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10000001100, 100, 101,     10000, a shifted =      100000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
10000010100, 100, 101,     10000, a shifted =      100000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
10000010101, 101, 100,    100000, a shifted =     1000001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
10000011000,   0,   1,         1, a shifted =  1000001100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10000011100, 100, 101,     10000, a shifted =      100000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
10000011101, 101, 100,    100000, a shifted =     1000001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
10000101000,   0,   1,         1, a shifted =  1000010100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10000110010,  10,  11,       100, a shifted =    10000110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
10000111000,   0,   1,         1, a shifted =  1000011100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10001001000,   0,   1,         1, a shifted =  1000100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10001011000,   0,   1,         1, a shifted =  1000101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10001101000,   0,   1,         1, a shifted =  1000110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10001110010,  10,  11,       100, a shifted =    10001110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
10001111000,   0,   1,         1, a shifted =  1000111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10010001000,   0,   1,         1, a shifted =  1001000100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10010010101, 101, 100,    100000, a shifted =     1001001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
10010011000,   0,   1,         1, a shifted =  1001001100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10010011101, 101, 100,    100000, a shifted =     1001001, a shifted mod 8 = 001, a remultiplied =       10000, a unshifted =     001----,  a mod8 = 001, num = 000, 0
10010101000,   0,   1,         1, a shifted =  1001010100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10010110010,  10,  11,       100, a shifted =    10010110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
10010111000,   0,   1,         1, a shifted =  1001011100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10011000111, 111, 110,  10000000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
10011001000,   0,   1,         1, a shifted =  1001100100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10011001111, 111, 110,  10000000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
10011010111, 111, 110,  10000000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
10011011000,   0,   1,         1, a shifted =  1001101100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10011011111, 111, 110,  10000000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
10011100111, 111, 110,  10000000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
10011101000,   0,   1,         1, a shifted =  1001110100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10011101111, 111, 110,  10000000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
10011110010,  10,  11,       100, a shifted =    10011110, a shifted mod 8 = 110, a remultiplied =      110000, a unshifted =      110---,  a mod8 = 110, num = 000, 0
10011110111, 111, 110,  10000000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
10011111000,   0,   1,         1, a shifted =  1001111100, a shifted mod 8 = 100, a remultiplied =        1000, a unshifted =        100-,  a mod8 = 100, num = 000, 0
10011111111, 111, 110,  10000000, a shifted =       10011, a shifted mod 8 = 011, a remultiplied =    11000000, a unshifted =   011------,  a mod8 = 011, num = 000, 0
10100000100, 100, 101,     10000, a shifted =      101000, a shifted mod 8 = 000, a remultiplied =           0, a unshifted =    000-----,  a mod8 = 000, num = 000, 0
